Entity ID,Entity Type,Canonical Name,Country,Parent Entity ID,Status
VESSEL_00093,Vessel,Navig8 Universe,,COMP_NAVIG8,Operating
VESSEL_00094,Vessel,Navig8 Constellation,,COMP_NAVIG8,Operating
VESSEL_00095,Vessel,Navig8 Grace,,COMP_NAVIG8,Operating
VESSEL_00096,Vessel,Navig8 Gallantry,,COMP_NAVIG8,Operating
VESSEL_00097,Vessel,Navig8 Guard,,COMP_NAVIG8,Operating
VESSEL_00098,Vessel,Navig8 Guide,,COMP_NAVIG8,Operating
VESSEL_00099,Vessel,Navig8 Goal,,COMP_NAVIG8,Operating
VESSEL_00100,Vessel,Navig8 Gauntlet,,COMP_NAVIG8,Operating
VESSEL_00101,Vessel,Navig8 Gladiator,,COMP_NAVIG8,Operating
VESSEL_00102,Vessel,Navig8 Gratitude,,COMP_NAVIG8,Operating
VESSEL_00103,Vessel,Navig8 Excel,,COMP_NAVIG8,Operating
VESSEL_00104,Vessel,Navig8 Exceed,,COMP_NAVIG8,Operating
VESSEL_00105,Vessel,Navig8 Express,,COMP_NAVIG8,Operating
VESSEL_00106,Vessel,Navig8 Excellence,,COMP_NAVIG8,Operating
VESSEL_00107,Vessel,Navig8 Estelle,,COMP_NAVIG8,Operating
VESSEL_00108,Vessel,Navig8 Executive,,COMP_NAVIG8,Operating
VESSEL_00109,Vessel,BYD Explorer No.1,,COMP_ZODIAC,Operating
VESSEL_00110,Vessel,BYD Changzhou,,COMP_ZODIAC,Operating
VESSEL_00111,Vessel,BYD Hefei,,COMP_BYD,Operating
VESSEL_00112,Vessel,BYD Zhengzhou,,COMP_BYD,Operating
VESSEL_00113,Vessel,BYD Shenzhen,,COMP_BYD,Operating
VESSEL_00114,Vessel,BYD Xi'an,,COMP_BYD,Operating
VESSEL_00115,Vessel,BYD Changsha,,COMP_BYD,Operating
VESSEL_00116,Vessel,BYD Jinan,,COMP_BYD,Operating
VESSEL_00117,Vessel,SINOKOR NIIGATA,Korea,COMP_SINOKOR,Operating
VESSEL_00118,Vessel,MEREDITH VICTORY,Korea,COMP_SINOKOR,Operating
VESSEL_00119,Vessel,KOOKYANG SINGAPORE,,COMP_SINOKOR,Operating
VESSEL_00120,Vessel,GENEVA QUEEN,,COMP_SINOKOR,Operating
VESSEL_00121,Vessel,Hakata Voyager,,COMP_SINOKOR,Operating
VESSEL_00122,Vessel,Vostochny Voyager,,COMP_SINOKOR,Operating
VESSEL_00123,Vessel,HongKong Voyager,,COMP_SINOKOR,Operating
VESSEL_00124,Vessel,Osaka Voyager,,COMP_SINOKOR,Operating
VESSEL_00125,Vessel,NAGOYA TRADER,,COMP_SINOKOR,Operating
VESSEL_00126,Vessel,SAWASDEE PACIFIC,,COMP_SINOKOR,Operating
VESSEL_00127,Vessel,SAWASDEE ATLANTIC,,COMP_SINOKOR,Operating
VESSEL_00128,Vessel,SAWASDEE BALTIC,,COMP_SINOKOR,Operating
VESSEL_00129,Vessel,SAWASDEE SUNRISE,,COMP_SINOKOR,Operating
VESSEL_00130,Vessel,HOCHIMINH VOYAGER,,COMP_SINOKOR,Operating
VESSEL_00131,Vessel,JAKARTA VOYAGER,,COMP_SINOKOR,Operating
VESSEL_00132,Vessel,SHANGHAI VOYAGER,,COMP_SINOKOR,Operating
VESSEL_00133,Vessel,NINGBO TRADER,,COMP_SINOKOR,Operating
VESSEL_00134,Vessel,YOKOHAMA TRADER,,COMP_SINOKOR,Operating
VESSEL_00135,Vessel,SURABAYA VOYAGER,,COMP_SINOKOR,Operating
VESSEL_00136,Vessel,KOBE TRADER,,COMP_SINOKOR,Operating
VESSEL_00137,Vessel,CHENNAI VOYAGER,Panama,COMP_SINOKOR,Operating
VESSEL_00138,Vessel,SENDAI TRADER,Korea,COMP_SINOKOR,Operating
VESSEL_00139,Vessel,QINGDAO TRADER,,COMP_SINOKOR,Operating
VESSEL_00140,Vessel,YANGTZE TRADER,,COMP_SINOKOR,Operating
VESSEL_00141,Vessel,NO.2 OCEAN PIONEER,,COMP_SINOKOR,Operating
VESSEL_00142,Vessel,OCEAN PIONEER,,COMP_SINOKOR,Operating
VESSEL_00143,Vessel,SAWASDEE CHITTAGONG,,COMP_SINOKOR,Operating
VESSEL_00144,Vessel,SAWASDEE SHANGHAI,,COMP_SINOKOR,Operating
VESSEL_00145,Vessel,SAWASDEE XIAMEN,,COMP_SINOKOR,Operating
VESSEL_00146,Vessel,SAWASDEE INCHEON,,COMP_SINOKOR,Operating
VESSEL_00147,Vessel,SAWASDEE SIRIUS,,COMP_SINOKOR,Operating
VESSEL_00148,Vessel,SAWASDEE VEGA,,COMP_SINOKOR,Operating
