Ownership ID,Terminal ID,Company ID,Company / Partner,Relationship,Equity %,Operating Control,Status,Details,Source URL
OWN00217,TERM0210,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00218,TERM0211,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals / CONCOR joint venture,https://www2.apmterminals.com/en/mumbai/about/our-terminal
OWN00219,TERM0212,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals-controlled Gujarat Pipavav Port,https://www2.apmterminals.com/en/pipavav/about/our-terminal
OWN00220,TERM0213,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00221,TERM0214,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals / MMC partnership,https://akamai.apmterminals.com/en/tanjung-pelepas/about/our-terminal
OWN00222,TERM0215,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00223,TERM0216,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,Cai Mep International Terminal JV / APM Terminals investment,https://akamai.apmterminals.com/en/cai-mep/about/our-terminal
OWN00224,TERM0217,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,51% APM Terminals / 49% ENNA Group,https://www2.apmterminals.com/en/rijeka/about/our-terminal
OWN00225,TERM0218,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals operation,https://www2.apmterminals.com/en/aarhus/about/our-terminal
OWN00226,TERM0219,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00227,TERM0220,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00228,TERM0221,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00229,TERM0222,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00230,TERM0223,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Vado port system,https://akamai.apmterminals.com/en/vado-ligure/about/our-terminal
OWN00231,TERM0224,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals operator; Hapag-Lloyd 25% stake agreement pending approval,https://www2.apmterminals.com/en/news/news-releases/2026/260819-APMTerminals-and-Hapag-Lloyd-partner-at-Maasvlakte-II
OWN00232,TERM0225,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00233,TERM0226,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00234,TERM0227,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00235,TERM0228,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals concession extended to 2049,https://www2.apmterminals.com/en/news/news-releases/2026/260422-APM-Terminals-invests-in-upgrade-and-extends-partnership
OWN00236,TERM0229,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals operation,https://www2.apmterminals.com/en/gothenburg/about/our-terminal
OWN00237,TERM0230,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals long-term management; no current equity after 2018 divestment,https://www2.apmterminals.com/en/izmir/about/our-terminal
OWN00238,TERM0231,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,Terminal 4 / APM Terminals,https://akamai.apmterminals.com/en/buenos-aires/about/our-terminal
OWN00239,TERM0232,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00240,TERM0233,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals operation/management,https://www2.apmterminals.com/en/pecem/about/our-terminal
OWN00241,TERM0234,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00242,TERM0235,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals concession,https://www2.apmterminals.com/en/moin/about/our-terminal
OWN00243,TERM0236,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals operation,https://www2.apmterminals.com/en/puerto-quetzal/about/our-terminal
OWN00244,TERM0237,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals network asset / partnership; detailed equity not verified in this pass,https://www2.apmterminals.com/en/
OWN00245,TERM0238,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Callao concession,https://www2.apmterminals.com/en/callao/about/our-terminal
OWN00246,TERM0239,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Pier 400,https://www2.apmterminals.com/en/los-angeles/about/our-terminal
OWN00247,TERM0240,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Mobile,https://www2.apmterminals.com/en/mobile/about/our-terminal
OWN00248,TERM0241,COMP_APMT,APM Terminals / partner operator,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals Port Elizabeth,https://www2.apmterminals.com/en/port-elizabeth/about/our-terminal
OWN00249,TERM0242,COMP_APMT,APM Terminals / CPA / QNS partnership,Operator / portfolio relationship,,Yes,Current / see source,PPP with Chittagong Port Authority and QNS Container Services,https://www2.apmterminals.com/en/news/news-releases/2026/260831-APMTerminals-breaks-ground-in-Laldia
OWN00250,TERM0243,COMP_APMT,APM Terminals / Hateco Group,Operator / portfolio relationship,,Yes,Current / see source,Partnership with Hateco and Da Nang City,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang
OWN00251,TERM0244,COMP_APMT,APM Terminals Panama,Operator / portfolio relationship,,Yes,Current / see source,Temporary operating mandate,https://www2.apmterminals.com/en/news/news-releases/2026/260224-APM-Terminals-begins-temporary-operations-Port-of-Balboa
