Warning,Date,UKMTO Classification,Analytical Classification,Port Relevance,Summary / Latest Update,Has Update,Latest Update No.,Confidence,Uploaded Source File
017-26,2026-03-10,Suspicious Activity,Suspicious / security incident,Offshore / regional maritime,"UKMTO has received a report of an incident 36NM north of Abu Dhabi, United Arab Emirates. The Master reports witnessing a splash and heard a loud bang in close proximity of a bulk carrier. Authorities are investigating.",No,,Medium,20260310-UKMTO_WARNING_017-26.pdf
018-26,2026-03-11,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 25NM northwest of Ra’s al Khaymah, UAE. The Master of a container vessel has reported that the vessel has sustained damage from a suspected but unknown projectile. Extent of the damage is currently unknown but under investigation by the crew. The Master additionally reports that all crew members are safe and accounted for. Update 001: UKMTO has been informed that there is no environmental impact as a result of the incident.",Yes,001,High,20260311-UKMTO_WARNING-UPDATE_001-018-26.pdf
019-26,2026-03-11,Attack,Conflict / maritime security attack,Offshore / regional maritime,UKMTO has received a report of an incident 11NM north of Oman in the Straits of Hormuz. It has been reported that a cargo vessel has been hit by an unknown projectile in the Straits of Hormuz which has resulted in a fire onboard. The vessel has requested assistance and the crew are evacuating the vessel. Update- 001: The CSO has reported that the fire onboard the vessel has been extinguished and there is no environmental impact at this time. Update 002 - 13 Mar 26: The CSO has reported that some of the crew remain unlocated at this time and authorities continue to investigate.,Yes,002,High,20260311-UKMTO_WARNING_019-26_UPDATE-002.pdf
020-26,2026-03-11,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 50NM northwest of Dubai, United Arab Emirates. The Master of a Bulk Carrier has reported their vessel being hit by an unknown projectile. There is no report of any environmental impact. The crew are reported safe and well. Authorities are investigating.",No,,High,20260311-UKMTO_WARNING_020-26.pdf
021-26,2026-03-11,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 5NM south of Al Basrah, in Iraq TTW. A third party reported that two tankers have been struck by an unknown projectile. The CSO of one affected vessel confirmed the attack had caused a fire onboard. The CSO reported that the crew have been evacuated and safe. Investigations to identify the second vessel affected continue. 120140UTCMAR26: The CSO of the second tanker involved has confirmed the vessel was struck and the attack has caused a fire onboard. All members of the crew have been evacuated. No environmental impact has been reported at this time.",Yes,001,High,20260311-UKMTO_WARNING_021-26-UPDATE 001.pdf
022-26,2026-03-12,Attack,Conflict / maritime security attack,Offshore / regional maritime,"UKMTO has received a report of an incident 35NM north of Jebel Ali, United Arab Emirates. The Master has reported the container ship was struck by unknown projectile causing a small fire onboard. Full damage assessment impaired by darkness. All crew are reported as safe. No environmental impact has been reported at this time. Authorities are investigating.",No,,High,20260312-UKMTO_WARNING_022-26.pdf
023-26,2026-03-16,Suspicious Activity,Conflict / maritime security attack,Anchorage / port approaches,"UKMTO has received a report of an incident 23NM east of Fujairah, UAE. A Tanker has reported being struck by an unknown projectile whilst at anchor. Minor structural damage reported. No injuries to crew. No environmental impact reported. Update- 001: The CSO has reported that investigations indicate that the vessel was subjected to falling debris from interceptions in the vicinity of the vessel. The vessel received minor structural damage however all crew are confirmed as safe. UKMTO have re-classified this incident as Suspicious Activity.",Yes,001,High,20260317-UKMTO_WARNING_023-26_UPDATE-001.pdf
024-26,2026-03-18,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 11NM east of Khawr Fakkan, UAE. It has been reported to UKMTO that a vessel has been hit by an unknown projectile which has resulted in a fire onboard.",No,,High,20260318-UKMTO_WARNING_024-26.pdf
025-26,2026-03-19,Suspicious Activity,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 4NM east of Ras Laffan, Qatar. It has been reported to UKMTO that a vessel has been hit by an unknown projectile. All crew are reported safe and well.",No,,High,20260319-UKMTO_WARNING_025-26.pdf
026-26,2026-03-21,Attack,Conflict / maritime security attack,Near-port / approaches,"UKMTO has received a report of an incident 15NM north of Sharjah, United Arab Emirates. The Master of a Bulk Carrier reported an explosion from an unknown projectile in close proximity to the vessel. All crew are reported safe. Update 001: UKMTO ATTACK Warning 026-26 has been reclassified after review determined the intended target could not be conclusively identified. Authorities are investigating.",Yes,001,High,20260322-UKMTO_WARNING_026-26-UPDATE 001.pdf
